,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
191,Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,54076,32843,49859,134525,12516,117,245151,1617,2709,68,15,1649,71591,62934,34.05516592877013,101.65603988401399
192,Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,730566,517702,351600,927722,326594,4987,1786830,369588,2433,558,8665,374,580111,347611,57.330190035414915,104.19324979907326
193,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,438257,380088,126600,565774,238505,4510,1004553,101235,26000,182,4710,109,357889,207885,71.91327295047897,99.1743955865082
194,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,607188,480204,294337,856587,307257,5711,1520553,128751,3175,322,3778,84,513311,343276,65.52701608237881,102.71556889519225
195,Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,720637,587903,295873,875207,372671,7320,1658465,265805,5420,307,6417,164,585639,289568,67.25993409396159,102.84674021501475
196,Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,711776,589888,207642,784833,347962,15013,1390020,386834,28747,1486,29037,715,543776,241057,70.47362160622797,103.01038560501728
197,Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,397178,302999,200310,495722,198064,3373,907750,143665,3432,231,5993,79,310412,185310,65.77087462543562,101.84368144733924
198,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,828359,599009,415267,1087028,404767,9752,2011014,513125,8344,826,4865,9589,680001,407027,55.61912243417243,102.94044383431218
199,Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,668836,556420,165910,903580,400702,4851,1630814,120011,15611,289,5820,623,560452,343128,68.9732895524203,98.9821384166299
200,Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,603793,481650,311263,730066,295937,2456,1281878,297927,2406,419,9834,68,490731,239335,67.93920889696733,105.21334806175662
201,Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,215302,197575,15153,278938,113931,3308,448986,87274,17130,139,250,126,172100,106838,74.4567814628534,98.1054692384365
202,Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,564110,452109,201233,717872,309494,5051,1305431,199873,26722,253,2494,150,454048,263824,66.14282339050807,102.1566963375241
203,Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,468785,340300,273016,654766,223166,2135,1218024,161770,4081,296,2898,85,387974,266792,58.210904224703576,101.43943280666208
204,Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,638668,510981,216159,871408,391033,3367,1712695,77801,8506,322,3607,299,575203,296205,63.66534146947921,100.48862864223192
205,Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,1063766,898414,311002,1314268,640868,28397,2631985,290549,39361,1255,14419,16194,921803,392465,65.38143837298455,101.48187981822419
206,Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,577213,402556,383526,903413,314547,5200,1634062,272022,10394,538,4156,2265,530373,373040,50.79650064391967,100.02177743256514
207,Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,674938,588078,246464,780598,363835,8791,1479424,234664,26521,400,9234,120,534487,246111,72.058983781514,100.23727977078569
208,Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,1006024,807367,352286,1354646,562769,7971,2413812,245923,9130,477,5067,187,837512,517134,67.68960574547029,101.6718032258696
209,Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,465704,460725,63390,513241,224814,9070,1009179,96740,65838,232,4534,161,335399,177842,78.68691081155228,91.36924402256066
210,Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,890552,962245,71706,804471,507913,28842,1460447,224545,435056,268,74,146,536738,267733,87.07616215705599,90.8935295210053
