,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
410,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,780541,768197,72867,679620,465692,15673,909872,78590,876299,160,156,438,524629,154991,82.8036531731087,98.1267524620536
411,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,401726,325318,200837,543298,264949,4915,993666,53292,16483,115,7,29,329034,214264,68.29955669036809,98.48501516849429
412,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,1223810,1049620,372828,1354632,754141,34097,2760502,168881,97711,520,1532,199,902704,451928,74.82690705050142,100.97223333864717
413,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,640916,572092,345057,671994,381940,5585,1435072,128617,47579,184,963,450,461174,210820,75.0414797859507,97.53202586264837
414,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,653312,522819,253726,898245,441044,8960,1673652,32483,16909,183,84,108,531463,366782,68.11828557958671,101.39492675438954
415,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,208011,167812,118278,299726,135751,1507,521658,32702,10301,83,38,39,162639,137087,66.49110174214425,99.67887347827008
416,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,608776,501769,305149,761693,354493,4494,1428784,114194,72850,119,32,81,471099,290594,68.62226533897284,98.53169389455037
417,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,536487,442459,153874,602977,291400,5172,1047411,208038,91139,154,29,86,392751,210226,72.32994321897085,101.76971229317205
418,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,1285107,1000455,454210,1694160,835377,20660,3326357,95487,53841,412,992,174,1083797,610363,65.63828956225862,104.76840430818267
419,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,526304,433440,199563,620171,314270,5773,1186078,74310,75481,150,109,80,391305,228866,71.67077016595462,99.73792899770147
420,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,944264,846734,415361,974079,555582,13495,2075870,190814,133971,231,1256,795,680483,293596,74.44222304427883,96.64414609546259
421,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,479403,390677,315161,591642,312310,4667,1148990,56751,37574,152,28,79,368900,222742,69.83551636208072,100.8814671017839
422,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,1495711,1296010,270586,1538054,909400,75634,3325823,143093,233633,1422,3693,951,1103563,434491,74.88313094269903,101.29694682949955
423,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,503085,443386,295188,540168,303114,4416,1132785,96092,33192,258,279,151,369853,170315,74.86262899665184,98.29183291927025
424,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,909803,717010,525063,1238177,549077,6445,2294369,91636,66987,232,7898,157,738995,499182,65.9998174349612,100.56168255781594
425,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,1504355,1269573,391955,1689330,865913,20623,3397857,414760,111390,676,3514,438,1123874,565456,70.46988680575896,99.34393204239956
426,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,760375,638413,208702,950158,505950,10219,1822626,47838,67405,245,98,87,579111,371047,72.01753807880192,99.2950802346449
427,Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,151643,124574,42201,155831,46875,273,307120,8256,22940,175,85,39120,105657,50174,73.0288448827433,105.91117450431715
428,Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,275646,244756,43977,248667,81601,997,507967,105737,44062,151,307,34717,186034,62633,74.99160598720074,103.4516120520571
429,Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,351082,295728,111332,366845,133744,948,736015,49258,39258,245,106,49420,253229,113616,73.83667370242728,104.45482277101318
430,Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,722998,638356,156108,698178,314567,6394,1512801,152791,53622,499,362,2128,500406,197772,78.88527755355823,103.9131005032429
431,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,2364953,2053844,2680510,1614594,1065916,234455,1389844,536402,27183,3922718,411313,10076,12057,21508,4049,1119701,270143,60.66153299189803,115.14764509865402
432,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,1951996,1721893,2092567,1283380,809187,267197,1174361,268120,13634,2904140,729283,7635,5875,2805,2582,929337,245024,56.957817723943215,113.36337391463928
433,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,2199340,1466387,541146,2111907,391542,24122,5102041,796756,13782,4377,2247,4391,1426110,685797,61.56342437035123,110.95531612168142
434,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,846676,640263,301120,787398,99581,2509,1985654,401678,2536,869,235,1817,547406,239992,62.010360784156724,102.27182621693527
435,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,546198,384638,151727,442023,65479,2404,1273546,101963,1004,371,228,332,364543,77480,67.47413096346983,115.72075276972033
436,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,2285004,2328909,2771917,1559414,1212503,452055,1372032,183381,6652,3878626,718692,3810,719,183,5652,941890,430142,60.077357332051996,98.11478250116255
437,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,489858,308112,74500,416695,119121,2989,917474,364583,1840,483,16139,161,342604,74091,61.23872643218055,116.10208000955258
438,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,878285,520083,482897,1152160,85814,2681,2291892,1169330,6400,8212,1177,2793,895576,256584,40.09391779354543,112.16883323082986
439,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,1160960,802630,384432,1019483,119972,4672,3004240,213440,4463,892,233,1595,723060,296423,60.608857284489595,106.7669854333985
440,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,544943,323414,328768,760253,57400,1551,1333242,805975,3228,900,198,1866,534332,225921,40.413791819571685,107.8125120896296
441,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,630626,372311,273458,701689,73522,1655,1637549,157612,1367,231,916,168,485314,216375,55.73699156945888,115.87721676620271
442,Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,1010518,681940,421973,1192850,108116,3159,2505444,737106,4857,2090,3016,1553,871241,321609,51.90476029832867,109.87670134253675
443,Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,1342697,849062,326376,1401971,272830,15164,2830768,1536534,14822,28187,931,4371,1153006,248965,49.271180675840235,112.76949185294451
444,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,819719,574064,282260,783688,108101,3423,2082976,364510,3493,900,107,9753,558642,225046,56.55521849781535,103.81080920151638
445,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,1241471,893922,311489,1088036,268353,7303,2032081,1585210,6184,50624,2134,1736,921497,166539,57.984236078130444,109.0671121965509
446,Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,1845260,1653911,2031656,1253314,778342,241137,1173260,223922,7865,2707195,777407,4088,2765,1572,669,897815,275445,58.0610664640282,111.56948590341318
447,Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,699454,475152,248674,652543,99602,3492,1727869,215081,2153,1389,100,340,462971,189572,60.15119144429719,108.88419651901746
448,Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,330339,200733,150695,394197,41046,827,955372,34559,693,63,285,101,254977,139220,53.55005898782935,113.73076815320393
449,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,1079288,795951,291016,876246,150001,4469,2730957,358539,3626,818,209,1182,639073,237173,60.47312658782191,98.33234197414791
450,Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,647042,408160,131779,545984,69591,2635,1611126,146346,2464,708,5671,2887,440244,105740,59.4654208556873,114.53174247196065
451,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,623583,438420,158026,506072,113098,2964,1457892,113961,1362,1045,3917,1733,413713,92359,67.13846795759288,114.9332702859146
452,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,838339,612562,272734,831209,127754,4746,2094271,365806,3225,1912,358,737,597888,233321,58.71725409510983,103.9839256113749
453,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,654827,437850,135679,592267,88081,2624,1596278,276846,3137,3160,487,3161,494545,97722,57.96067693469779,114.4802289968645
454,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,911003,601163,425366,1063929,75263,3385,2274674,350700,2201,402,199,172,713736,350193,57.437119525603244,110.9543104988658
455,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,912314,609492,150221,761521,196080,5834,2140745,314812,3370,1804,19077,3395,621840,139681,60.91717250644075,114.22987539768977
456,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,666065,456882,48845,569109,257586,53181,1394025,215500,7366,9261,4518,895,443384,125725,68.13523328165813,117.45782100828472
457,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,1811397,1311867,123680,1520538,695130,78116,3414427,1186776,19026,23001,16412,3487,1231615,288923,66.71296093573946,113.49970426087795
458,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,1293553,903996,435934,1204602,105767,5309,3233790,368153,4181,810,213,3145,808700,395902,60.70127957377741,105.09190779705109
459,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,1034181,645813,431532,1170552,104084,4313,2739076,678615,4735,1893,338,649,855848,314704,48.92351858037421,108.52412566880803
460,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,1593890,1106438,454931,1351629,296619,14597,4009037,403847,9662,2123,460,2848,1016876,334753,60.805941144746726,105.30063547157391
461,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,180555,177536,8824,241931,104120,2521,449412,3711,243,591,293,95,118724,123207,78.74146817718045,91.32176122643017
462,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,408125,245174,181449,443655,55929,1196,1010014,91269,814,196,41,74,308527,135128,59.16036168199332,116.20936352173675
463,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,1374587,847014,406830,1318946,95508,3845,3508131,556219,5822,5688,446,6671,1091952,226994,54.28011566526463,115.2539466909435
464,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,653430,421766,243035,620764,104176,2217,1509708,171581,1148,463,256,2875,470969,149795,63.622043889432625,115.59035671185205
465,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,1565394,1166283,436792,1437375,181467,8002,3981502,483750,4947,1286,349,7898,934157,503218,60.782220833767234,97.6569870156601
466,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,783705,520808,248072,814914,183340,8517,1823930,147842,7050,4951,7328,1203,565357,249557,65.27124196251081,112.3537055591622
467,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,600541,382569,131877,599089,89329,2825,1075440,750368,5952,5295,517,189,459037,140052,53.42347468048675,109.88592245190311
468,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,603596,413491,129517,524676,61491,2488,1375788,273967,1263,504,606,2033,430934,93742,61.3954591770211,113.80104279593206
469,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,692964,477279,234069,628864,49753,2682,1612968,176327,1300,478,155,819,493991,134873,65.15162143744739,115.64671178455788
470,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,507279,306145,321410,639086,43753,1503,1372381,220423,2225,522,545,687,402644,236442,50.851840089622634,110.16592849137643
471,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,1183722,771098,528388,1116973,127331,3486,2928462,620244,5006,767,383,4619,804857,312116,54.84067527291009,104.09770688507056
472,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,397586,243605,131354,503351,77082,1079,1163804,33724,1351,1034,20390,69,326783,176568,52.48814661523651,110.40853903245198
473,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,1742440,1384820,203029,1542806,582769,68506,3537787,985070,20493,23883,4975,3877,1226399,316407,68.13443088841044,109.06975706056679
474,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,302283,185823,130422,349676,42936,1316,815142,57454,965,389,234,94,237153,112523,55.72253464207188,113.85693359375
475,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,712110,491775,137174,560840,79022,2642,1746649,100723,1729,475,4161,8814,466067,94773,64.42955929503904,113.50908185092419
476,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,943346,564400,179248,840939,281239,8726,2310776,216933,3179,2872,2056,883,635142,205797,59.19266138606398,115.8522582345459
477,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,773082,589962,212343,696747,149908,2656,1769937,428555,2109,340,155,564,475413,221334,61.788928941852284,102.1488940755586
478,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,1254520,886968,153995,1090539,425624,23717,2183255,1185643,10582,24912,18544,1855,898810,191729,62.18587102377712,112.8432592929554
479,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,865837,562846,334372,881996,145997,4447,2292534,195765,2373,1133,701,341,613061,268935,57.216666599919094,110.7738201757792
480,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,1357435,906413,338384,1417811,281758,11690,2488265,2248392,13157,7555,2426,1260,1193439,224372,47.44017505426439,110.32986310064263
481,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,1448528,968811,323641,1291644,368153,10077,2382914,1711453,6495,18601,16345,1516,1081569,210075,58.34034027173084,112.47929569996687
482,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,654290,406805,224192,618605,83006,2870,1449007,489686,3510,84787,138,360,534939,83666,52.24477315932441,111.78273314529122
483,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,250122,151393,96815,481294,71612,716,827293,25597,358,72,14077,32,251691,229603,46.26559028770015,101.77631456577944
484,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,1121381,810178,386563,1066601,140538,5149,2731351,452394,3920,1451,746,7795,704569,362032,60.18928429757371,100.18895160243935
485,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,1165965,799878,507882,1204710,247856,5184,2975998,413243,3634,2424,397,722,867393,337317,57.72453215463306,106.02080922337763
486,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,630408,413258,230238,737261,131112,3847,1073890,1181337,9201,65316,1307,384,609693,127568,44.68094488485623,110.06888922863848
487,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,1220114,856994,273050,1037344,404499,9699,1966892,1454052,6523,18627,10208,1937,911136,126208,59.92149739988264,112.36494318362827
488,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,567098,387851,241825,539469,79525,2031,1300586,404410,1766,447,95,4393,383482,155987,55.67621647369406,102.8537231809274
489,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,915142,575788,275192,892214,115163,3889,2412595,527581,4630,51090,301,2312,783313,108901,49.589594410581206,114.73200798494432
490,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,1397702,886031,473554,1422602,102040,3874,3555450,893725,6579,11611,1410,2663,1171252,251350,50.93080005495103,112.63965765143726
491,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,601988,383720,371261,730399,95582,5149,1738769,103567,3963,1649,487,1747,463611,266788,52.92224300008751,108.99098421817406
492,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,1300248,939654,501634,1242632,233701,5956,3119590,650261,4453,1629,426,9989,869838,372794,58.9895439092343,101.70276080447016
493,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,1053063,720521,332663,1124744,99466,3476,2732016,363453,3574,1204,240,920,851014,273730,57.05838467594078,110.26916416375786
494,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,1389116,1014787,182146,1220708,336056,19214,3107681,546987,7696,3309,1898,1146,921234,299474,65.37957447711229,109.50851973579245
495,Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,231604,204893,10274,298211,109876,1830,611250,7752,1895,256,31,201,142460,155751,70.11932415109253,87.82711020592893
496,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,97546,81937,8985,123638,47083,435,257509,1440,397,46,7,102,58708,64930,69.0590154599112,91.70477679756883
497,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,155395,125161,3845,180940,71524,899,385818,4395,428,323,11,190,93832,87108,71.6425990475096,98.166627870495
498,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,102015,75711,4032,99566,37725,548,249563,8693,870,336,28,24,60427,39139,68.44882302193739,102.0245403546447
499,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,189623,155927,5432,216490,95421,1344,475105,6015,1401,260,13,185,113539,102951,71.47747699296086,98.02279904805987
500,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,227406,180588,8129,280442,117239,1366,609835,7374,656,290,91,32,140821,139621,65.91914122898999,92.84643786318529
501,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,598525,439314,165250,591458,254802,7883,1104452,372267,6064,162768,738,505,444578,146880,62.94121785284996,108.69033651892943
502,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,128237,86889,4387,157276,52621,602,324859,3554,353,167,74,563,84265,73011,65.17271256581618,104.40153818526339
503,West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,1299337,933655,647374,1466220,334670,4273,3033581,290450,3865,386,2904,260,1050822,415398,62.08491511880143,104.52160522785728
504,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,2918040,2329168,973182,2911251,1049943,32323,6008472,1599764,21220,16675,1674,1602,2293083,618168,67.99047834141425,105.76469722508541
505,West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,1201481,956966,611510,1331603,333752,5210,2181515,1298054,10906,582,1152,258,1029770,301833,61.62758493880204,104.6413521832515
506,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,596474,487211,279932,702987,168069,2518,1232850,412788,24794,276,323,148,499560,203427,64.64836339600399,104.654263274393
507,West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,717673,597912,66041,683726,297176,10943,1366681,105086,141848,2032,1840,209240,479586,204140,71.23503443481049,103.04486545201877
508,West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,1942824,1662382,181662,1819845,796953,30751,3535844,1270641,8666,4380,9699,1258,1498170,321675,74.33369986035136,106.45361632208275
509,West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,2211777,1866611,583380,2152870,965258,31725,4574569,870204,7300,2662,2160,1730,1713608,439262,73.89528631699294,104.07326033872535
510,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,1396622,1102158,349672,1512910,382500,9322,3156781,445817,186279,2994,1461,50676,1091361,421549,64.5205102397565,104.93612490752902
511,West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,1926915,1661222,12388,1795740,927602,136618,3440290,926414,39758,13849,21178,4771,1412466,383274,79.79500050481532,110.1329577443727
512,West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,1152019,934413,545759,1537847,297716,5357,1914352,2045151,13209,747,639,359,1086461,451386,52.30667022659442,105.89669974356116
513,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,2177187,1878647,842294,2589907,541169,7951,2359061,4707573,18102,766,3037,348,1985667,604240,57.09380899565543,104.3530040909108
514,West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,1878866,1601689,556134,1842607,623729,12787,3728482,1382682,33835,849,281,514,1554090,288517,67.35341357690223,105.56664088928775
515,West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,1002058,622847,492205,1249642,189889,3551,2373120,227249,8646,622,3052,209,801254,448388,55.455331957960695,104.45720139081263
516,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,853495,636172,442328,1075626,199307,2883,1482943,1501170,16702,477,1324,432,799627,275999,49.53776585945289,106.52428320655353
